Unnamed: 0,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
381,3.4,6.0,32.0,4.5,48,9.78483245149912,1050,629
668,4.5,8.0,256.0,6.5,48,8.0,3800,38990
158,4.4,6.0,128.0,6.5,40,2.0,3750,13699
69,3.9,3.0,16.0,5.0,38,5.0,4200,8990
590,3.9,6.0,32.0,4.77,25,9.78483245149912,3000,899
131,4.4,2.0,16.0,5.0,38,2.0,3050,13999
44,3.9,6.0,32.0,4.77,48,9.78483245149912,1750,1451
281,4.3,8.0,128.0,6.5,48,8.0,5000,15990
70,4.1,6.0,32.0,4.54,48,9.78483245149912,3000,3149
677,4.1,6.0,32.0,4.5,48,9.78483245149912,3000,985
383,4.6,8.0,256.0,6.67,48,1.0,4085,46970
326,4.5,6.0,128.0,6.4,64,8.0,6000,19900
424,4.1,6.0,32.0,44.0,48,15.0,3000,970
135,4.7,8.0,64.0,6.5,35,12.0,3500,117100
82,3.9,6.0,64.0,4.54,48,9.78483245149912,3600,1799
165,3.8,25.0,25.0,4.54,48,9.78483245149912,3000,1199
164,3.7,6.0,64.0,4.5,48,12.0,3000,1199
28,4.1,3.0,32.0,4.5,64,23.0,3000,1599
815,4.1,4.0,64.0,5.9,38,2.0,3000,14999
193,3.5,6.0,64.0,4.5,48,20.0,3000,669
730,2.8,1.0,8.0,5.0,8,9.78483245149912,2000,4999
797,4.5,8.0,128.0,6.44,48,13.0,4100,29499
333,4.7,8.0,64.0,6.1,35,12.0,5000,68300
136,4.4,8.0,128.0,6.4,48,9.78483245149912,3500,22999
436,4.7,8.0,64.0,5.8,35,12.0,5000,140300
834,3.7,10.0,32.0,4.5,64,9.78483245149912,3500,799
140,4.4,6.0,128.0,6.3,48,1.0,3800,153000
518,3.9,5.0,32.0,4.54,48,8.0,3000,1049
6,4.4,8.0,128.0,6.7,64,5.0,4700,29999
544,4.5,6.0,128.0,6.39,48,13.0,3800,24999
409,3.8,6.0,32.0,4.54,48,12.0,2800,1149
235,3.9,6.0,32.0,4.54,48,9.78483245149912,1200,1273
705,3.5,6.0,64.0,4.5,48,9.78483245149912,3000,1099
73,4.3,3.0,64.0,5.7,35,18.0,3500,42998
579,3.9,6.0,32.0,4.54,25,9.78483245149912,3000,1329
275,4.4,3.0,32.0,6.35,38,8.0,5000,10990
554,4.5,6.0,64.0,5.99,35,5.0,3800,13999
145,3.6,8.0,64.0,4.77,48,9.78483245149912,3000,650
306,4.1,8.0,64.0,4.54,64,9.78483245149912,2500,1199
234,4.0,6.0,32.0,4.5,48,13.0,3500,899
220,3.6,6.0,20.0,4.5,48,9.78483245149912,3000,599
467,3.9,6.0,32.0,4.5,48,11.0,3000,900
332,4.5,8.0,128.0,6.44,48,8.0,4700,24990
132,4.0,6.0,32.0,4.54,48,9.78483245149912,3000,1690
393,4.3,8.0,128.0,6.52,48,8.0,5000,15990
327,4.4,8.0,128.0,6.44,48,13.0,4440,34990
450,4.5,6.0,32.0,4.5,64,9.78483245149912,3000,649
41,3.6,6.0,32.0,4.54,38,0.0,1200,945
516,4.2,4.0,4.0,4.5,64,9.78483245149912,3500,1149
108,4.5,6.0,64.0,6.39,48,13.0,3800,21999
361,4.4,8.0,256.0,6.44,48,8.0,4700,31990
56,3.6,6.0,32.0,4.5,48,9.78483245149912,3000,898
434,3.8,6.0,32.0,4.54,48,16.0,3000,1349
294,4.4,4.0,128.0,6.53,48,2.0,4020,16490
736,4.5,8.0,256.0,6.5,48,8.0,3800,38990
24,4.4,6.0,32.0,4.5,64,32.0,3000,649
536,4.3,1.0,16.0,4.5,48,8.0,3000,869
368,4.4,6.0,128.0,6.26,48,2.0,3750,22999
785,3.7,6.0,32.0,4.77,48,12.0,1750,927
51,4.7,8.0,64.0,6.5,35,12.0,3000,117100
664,4.0,6.0,32.0,4.5,48,9.78483245149912,3000,949
766,4.5,8.0,128.0,6.7,64,1.0,4700,77999
264,4.6,4.0,64.0,6.6,38,2.0,5000,9499
375,4.4,12.0,25.0,6.44,48,13.0,4440,44990
578,4.0,6.0,32.0,3.7,16,9.78483245149912,3000,975
350,4.3,3.0,32.0,6.22,38,9.78483245149912,4030,10169
299,3.8,6.0,32.0,4.7,64,9.78483245149912,4300,3999
